id,name,city,state,latitude,longitude,categories,sub_categories,tags,cost_per_day,rating,description,visit_duration_hours,best_time_to_visit,photos,website_url,google_maps_url,opening_hours,entry_fee,is_active,nearby_attractions,facilities,created_at,updated_at
kl_ala_005,Ambalapuzha Temple,Alappuzha,Kerala,9.489,76.3168,"[""religious""]",[],"[""tourism"", ""travel""]",100,4.4,"Ambalapuzha Temple is a popular religious destination in Alappuzha, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054572,2026-01-23T14:14:17.054573
kl_ala_006,Pathiramanal Island,Alappuzha,Kerala,9.4905,76.3382,"[""nature""]",[],"[""tourism"", ""travel""]",100,4.7,"Pathiramanal Island is a popular nature destination in Alappuzha, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054588,2026-01-23T14:14:17.054590
kl_ala_007,Alleppey Lighthouse,Alappuzha,Kerala,9.4757,76.3462,"[""history""]",[],"[""tourism"", ""travel""]",200,4.5,"Alleppey Lighthouse is a popular history destination in Alappuzha, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.054605,2026-01-23T14:14:17.054606
kl_ala_008,Punnamada Lake,Alappuzha,Kerala,9.4813,76.3474,"[""nature""]",[],"[""tourism"", ""travel""]",1000,4.4,"Punnamada Lake is a popular nature destination in Alappuzha, Kerala.",1,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.054622,2026-01-23T14:14:17.054623
kl_way_002,Banasura Sagar Dam,Wayanad,Kerala,11.6816,76.1272,"[""nature""]",[],"[""tourism"", ""travel""]",50,4.5,"Banasura Sagar Dam is a popular nature destination in Wayanad, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054657,2026-01-23T14:14:17.054658
kl_way_004,Pookode Lake,Wayanad,Kerala,11.6953,76.1177,"[""nature""]",[],"[""tourism"", ""travel""]",0,4.4,"Pookode Lake is a popular nature destination in Wayanad, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054690,2026-01-23T14:14:17.054691
kl_way_005,Soochipara Falls,Wayanad,Kerala,11.6886,76.129,"[""nature""]",[],"[""tourism"", ""travel""]",100,4.9,"Soochipara Falls is a popular nature destination in Wayanad, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054709,2026-01-23T14:14:17.054711
kl_way_006,Thirunelli Temple,Wayanad,Kerala,11.6624,76.1361,"[""religious""]",[],"[""tourism"", ""travel""]",1000,4.6,"Thirunelli Temple is a popular religious destination in Wayanad, Kerala.",1,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.054726,2026-01-23T14:14:17.054728
kl_way_007,Wayanad Wildlife Sanctuary,Wayanad,Kerala,11.6957,76.1281,"[""nature""]",[],"[""tourism"", ""travel""]",1000,4.6,"Wayanad Wildlife Sanctuary is a popular nature destination in Wayanad, Kerala.",1,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.054743,2026-01-23T14:14:17.054745
kl_way_008,Lakkidi View Point,Wayanad,Kerala,11.6745,76.1262,"[""nature""]",[],"[""tourism"", ""travel""]",1000,4.7,"Lakkidi View Point is a popular nature destination in Wayanad, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.054760,2026-01-23T14:14:17.054761
kl_way_009,Kuruvadweep,Wayanad,Kerala,11.674,76.1295,"[""nature""]",[],"[""tourism"", ""travel""]",0,4.5,"Kuruvadweep is a popular nature destination in Wayanad, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054778,2026-01-23T14:14:17.054779
kl_var_001,Varkala Beach,Varkala,Kerala,8.7492,76.7233,"[""beach""]",[],"[""tourism"", ""travel""]",200,4.0,"Varkala Beach is a popular beach destination in Varkala, Kerala.",1,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.054796,2026-01-23T14:14:17.054798
kl_var_002,Janardanaswamy Temple,Varkala,Kerala,8.7251,76.7037,"[""religious""]",[],"[""tourism"", ""travel""]",200,4.7,"Janardanaswamy Temple is a popular religious destination in Varkala, Kerala.",1,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054813,2026-01-23T14:14:17.054815
kl_var_004,Sivagiri Mutt,Varkala,Kerala,8.73,76.7088,"[""religious""]",[],"[""tourism"", ""travel""]",200,4.1,"Sivagiri Mutt is a popular religious destination in Varkala, Kerala.",3,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.054846,2026-01-23T14:14:17.054848
kl_var_005,Kappil Beach,Varkala,Kerala,8.7186,76.7036,"[""beach""]",[],"[""tourism"", ""travel""]",0,4.4,"Kappil Beach is a popular beach destination in Varkala, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.054863,2026-01-23T14:14:17.054864
kl_var_006,Anjengo Fort,Varkala,Kerala,8.7435,76.7192,"[""history""]",[],"[""tourism"", ""travel""]",50,4.7,"Anjengo Fort is a popular history destination in Varkala, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054880,2026-01-23T14:14:17.054881
tn_che_002,Kapaleeshwarar Temple,Chennai,Tamil Nadu,13.0718,80.2615,"[""religious""]",[],"[""tourism"", ""travel""]",1000,4.7,"Kapaleeshwarar Temple is a popular religious destination in Chennai, Tamil Nadu.",1,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.054913,2026-01-23T14:14:17.054915
tn_che_003,Fort St. George,Chennai,Tamil Nadu,13.0781,80.2505,"[""history""]",[],"[""tourism"", ""travel""]",0,4.7,"Fort St. George is a popular history destination in Chennai, Tamil Nadu.",3,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054930,2026-01-23T14:14:17.054932
tn_che_004,San Thome Basilica,Chennai,Tamil Nadu,13.0619,80.2528,"[""religious""]",[],"[""tourism"", ""travel""]",500,4.1,"San Thome Basilica is a popular religious destination in Chennai, Tamil Nadu.",1,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.054947,2026-01-23T14:14:17.054948
tn_che_005,Government Museum Chennai,Chennai,Tamil Nadu,13.0816,80.2775,"[""history""]",[],"[""tourism"", ""travel""]",50,4.8,"Government Museum Chennai is a popular history destination in Chennai, Tamil Nadu.",2,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054964,2026-01-23T14:14:17.054965
tn_che_006,Guindy National Park,Chennai,Tamil Nadu,13.0917,80.251,"[""nature""]",[],"[""tourism"", ""travel""]",500,4.0,"Guindy National Park is a popular nature destination in Chennai, Tamil Nadu.",4,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.054980,2026-01-23T14:14:17.054982
tn_che_007,Elliot's Beach,Chennai,Tamil Nadu,13.0866,80.2584,"[""beach""]",[],"[""tourism"", ""travel""]",200,4.4,"Elliot's Beach is a popular beach destination in Chennai, Tamil Nadu.",2,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.054998,2026-01-23T14:14:17.054999
tn_che_008,DakshinaChitra,Chennai,Tamil Nadu,13.0601,80.28,"[""cultural""]",[],"[""tourism"", ""travel""]",0,4.8,"DakshinaChitra is a popular cultural destination in Chennai, Tamil Nadu.",4,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.055015,2026-01-23T14:14:17.055016
tn_che_009,Arignar Anna Zoological Park,Chennai,Tamil Nadu,13.0812,80.2715,"[""nature""]",[],"[""tourism"", ""travel""]",0,4.3,"Arignar Anna Zoological Park is a popular nature destination in Chennai, Tamil Nadu.",3,Oct-Mar,[],,,9 AM - 6 PM,0,True,[],[],2026-01-23T14:14:17.055032,2026-01-23T14:14:17.055033
tn_che_010,T Nagar,Chennai,Tamil Nadu,13.0965,80.2511,"[""shopping""]",[],"[""tourism"", ""travel""]",500,4.2,"T Nagar is a popular shopping destination in Chennai, Tamil Nadu.",3,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.055050,2026-01-23T14:14:17.055051
tn_oot_002,Botanical Gardens,Ooty,Tamil Nadu,11.3918,76.672,"[""nature""]",[],"[""tourism"", ""travel""]",100,4.3,"Botanical Gardens is a popular nature destination in Ooty, Tamil Nadu.",1,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.055085,2026-01-23T14:14:17.055086
tn_oot_004,Rose Garden Ooty,Ooty,Tamil Nadu,11.4148,76.6782,"[""nature""]",[],"[""tourism"", ""travel""]",50,4.1,"Rose Garden Ooty is a popular nature destination in Ooty, Tamil Nadu.",1,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.055119,2026-01-23T14:14:17.055121
tn_oot_005,Toy Train,Ooty,Tamil Nadu,11.4199,76.6849,"[""history""]",[],"[""tourism"", ""travel""]",0,4.5,"Toy Train is a popular history destination in Ooty, Tamil Nadu.",3,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.055139,2026-01-23T14:14:17.055140
tn_oot_006,Pykara Lake,Ooty,Tamil Nadu,11.4175,76.6759,"[""nature""]",[],"[""tourism"", ""travel""]",100,4.8,"Pykara Lake is a popular nature destination in Ooty, Tamil Nadu.",2,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.055155,2026-01-23T14:14:17.055157
tn_oot_007,Avalanche Lake,Ooty,Tamil Nadu,11.4058,76.6939,"[""nature""]",[],"[""tourism"", ""travel""]",0,4.1,"Avalanche Lake is a popular nature destination in Ooty, Tamil Nadu.",3,Oct-Mar,[],,,9 AM - 6 PM,0,True,[],[],2026-01-23T14:14:17.055172,2026-01-23T14:14:17.055173
tn_oot_008,Emerald Lake,Ooty,Tamil Nadu,11.4199,76.6944,"[""nature""]",[],"[""tourism"", ""travel""]",100,4.8,"Emerald Lake is a popular nature destination in Ooty, Tamil Nadu.",2,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.055189,2026-01-23T14:14:17.055190
tn_mad_001,Meenakshi Temple,Madurai,Tamil Nadu,9.9228,78.1172,"[""religious""]",[],"[""tourism"", ""travel""]",200,4.8,"Meenakshi Temple is a popular religious destination in Madurai, Tamil Nadu.",2,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.055206,2026-01-23T14:14:17.055207
tn_mad_003,Gandhi Museum,Madurai,Tamil Nadu,9.9143,78.1212,"[""history""]",[],"[""tourism"", ""travel""]",100,4.1,"Gandhi Museum is a popular history destination in Madurai, Tamil Nadu.",1,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.055241,2026-01-23T14:14:17.055242
tn_mad_004,Alagar Koyil,Madurai,Tamil Nadu,9.9124,78.0916,"[""religious""]",[],"[""tourism"", ""travel""]",100,4.8,"Alagar Koyil is a popular religious destination in Madurai, Tamil Nadu.",1,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.055257,2026-01-23T14:14:17.055259
tn_mad_005,Vandiyur Mariamman Teppakulam,Madurai,Tamil Nadu,9.9194,78.0995,"[""religious""]",[],"[""tourism"", ""travel""]",0,4.3,"Vandiyur Mariamman Teppakulam is a popular religious destination in Madurai, Tamil Nadu.",1,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.055274,2026-01-23T14:14:17.055275
tn_mad_006,Samanar Hills,Madurai,Tamil Nadu,9.9237,78.1015,"[""history""]",[],"[""tourism"", ""travel""]",0,4.4,"Samanar Hills is a popular history destination in Madurai, Tamil Nadu.",2,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.055291,2026-01-23T14:14:17.055292
tn_mad_007,Pazhamudhir Solai,Madurai,Tamil Nadu,9.9167,78.1246,"[""religious""]",[],"[""tourism"", ""travel""]",1000,4.3,"Pazhamudhir Solai is a popular religious destination in Madurai, Tamil Nadu.",1,Oct-Mar,[],,,9 AM - 6 PM,0,True,[],[],2026-01-23T14:14:17.055308,2026-01-23T14:14:17.055309
tn_kan_001,Vivekananda Rock Memorial,Kanyakumari,Tamil Nadu,8.0742,77.5302,"[""history""]",[],"[""tourism"", ""travel""]",1000,4.0,"Vivekananda Rock Memorial is a popular history destination in Kanyakumari, Tamil Nadu.",3,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.055327,2026-01-23T14:14:17.055329
tn_kan_002,Thiruvalluvar Statue,Kanyakumari,Tamil Nadu,8.089,77.5438,"[""history""]",[],"[""tourism"", ""travel""]",200,4.4,"Thiruvalluvar Statue is a popular history destination in Kanyakumari, Tamil Nadu.",4,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.055347,2026-01-23T14:14:17.055348
tn_kan_003,Kanyakumari Beach,Kanyakumari,Tamil Nadu,8.0872,77.5246,"[""beach""]",[],"[""tourism"", ""travel""]",0,4.6,"Kanyakumari Beach is a popular beach destination in Kanyakumari, Tamil Nadu.",4,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.055364,2026-01-23T14:14:17.055365
tn_kan_004,Kumari Amman Temple,Kanyakumari,Tamil Nadu,8.0836,77.5132,"[""religious""]",[],"[""tourism"", ""travel""]",500,4.5,"Kumari Amman Temple is a popular religious destination in Kanyakumari, Tamil Nadu.",4,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.055381,2026-01-23T14:14:17.055382
tn_kan_005,Gandhi Mandapam,Kanyakumari,Tamil Nadu,8.0717,77.5275,"[""history""]",[],"[""tourism"", ""travel""]",200,4.7,"Gandhi Mandapam is a popular history destination in Kanyakumari, Tamil Nadu.",4,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.055398,2026-01-23T14:14:17.055399
tn_kan_006,Sunset Point,Kanyakumari,Tamil Nadu,8.0792,77.5426,"[""nature""]",[],"[""tourism"", ""travel""]",50,4.6,"Sunset Point is a popular nature destination in Kanyakumari, Tamil Nadu.",4,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.055415,2026-01-23T14:14:17.055416
tn_kan_007,Vattakottai Fort,Kanyakumari,Tamil Nadu,8.0863,77.5272,"[""history""]",[],"[""tourism"", ""travel""]",500,4.6,"Vattakottai Fort is a popular history destination in Kanyakumari, Tamil Nadu.",1,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.055433,2026-01-23T14:14:17.055434
tn_ram_001,Ramanathaswamy Temple,Rameshwaram,Tamil Nadu,9.2735,79.2994,"[""religious""]",[],"[""tourism"", ""travel""]",500,4.1,"Ramanathaswamy Temple is a popular religious destination in Rameshwaram, Tamil Nadu.",2,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.055450,2026-01-23T14:14:17.055451
tn_ram_002,Dhanushkodi Beach,Rameshwaram,Tamil Nadu,9.2904,79.3015,"[""beach""]",[],"[""tourism"", ""travel""]",0,4.3,"Dhanushkodi Beach is a popular beach destination in Rameshwaram, Tamil Nadu.",3,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.055467,2026-01-23T14:14:17.055468
tn_ram_003,Pamban Bridge,Rameshwaram,Tamil Nadu,9.2675,79.2902,"[""history""]",[],"[""tourism"", ""travel""]",1000,4.4,"Pamban Bridge is a popular history destination in Rameshwaram, Tamil Nadu.",4,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.055484,2026-01-23T14:14:17.055485
tn_ram_004,Agni Theertham,Rameshwaram,Tamil Nadu,9.2711,79.2912,"[""religious""]",[],"[""tourism"", ""travel""]",500,4.7,"Agni Theertham is a popular religious destination in Rameshwaram, Tamil Nadu.",4,Oct-Mar,[],,,9 AM - 6 PM,0,True,[],[],2026-01-23T14:14:17.055500,2026-01-23T14:14:17.055501
tn_ram_005,Adam's Bridge,Rameshwaram,Tamil Nadu,9.2634,79.3171,"[""nature""]",[],"[""tourism"", ""travel""]",500,4.6,"Adam's Bridge is a popular nature destination in Rameshwaram, Tamil Nadu.",1,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.055517,2026-01-23T14:14:17.055518
tn_ram_006,House of Kalam,Rameshwaram,Tamil Nadu,9.2906,79.2926,"[""history""]",[],"[""tourism"", ""travel""]",100,4.5,"House of Kalam is a popular history destination in Rameshwaram, Tamil Nadu.",1,Oct-Mar,[],,,9 AM - 6 PM,0,True,[],[],2026-01-23T14:14:17.055533,2026-01-23T14:14:17.055534
tn_coi_001,Marudhamalai Temple,Coimbatore,Tamil Nadu,10.9942,76.9507,"[""religious""]",[],"[""tourism"", ""travel""]",200,4.2,"Marudhamalai Temple is a popular religious destination in Coimbatore, Tamil Nadu.",3,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.055551,2026-01-23T14:14:17.055552
tn_coi_002,Adiyogi Shiva,Coimbatore,Tamil Nadu,10.9992,76.9553,"[""cultural""]",[],"[""tourism"", ""travel""]",1000,4.2,"Adiyogi Shiva is a popular cultural destination in Coimbatore, Tamil Nadu.",4,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.055568,2026-01-23T14:14:17.055571
tn_coi_003,Siruvani Waterfalls,Coimbatore,Tamil Nadu,11.0074,76.9596,"[""nature""]",[],"[""tourism"", ""travel""]",0,4.3,"Siruvani Waterfalls is a popular nature destination in Coimbatore, Tamil Nadu.",2,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.055586,2026-01-23T14:14:17.055588
tn_coi_004,Black Thunder,Coimbatore,Tamil Nadu,11.0191,76.9538,"[""adventure""]",[],"[""tourism"", ""travel""]",50,4.4,"Black Thunder is a popular adventure destination in Coimbatore, Tamil Nadu.",3,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.055605,2026-01-23T14:14:17.055606
tn_coi_005,Gedee Car Museum,Coimbatore,Tamil Nadu,11.0229,76.949,"[""cultural""]",[],"[""tourism"", ""travel""]",1000,4.6,"Gedee Car Museum is a popular cultural destination in Coimbatore, Tamil Nadu.",4,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.055622,2026-01-23T14:14:17.055623
